long1,long2,lat1,lat2
-122.41942,-71.088713,37.77493,42.31367
-122.41942,-122.41942,37.77493,37.77493
-122.41942,-122.27275,37.77493,37.871590000000005
-122.41942,-84.38798,37.77493,33.749
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-84.38798,37.77493,33.749
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-87.69006,37.77493,42.041140000000006
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-75.16379,37.77493,39.952329999999996
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-115.13722,37.77493,36.17497
-122.41942,-75.16379,37.77493,39.952329999999996
-122.41942,-95.446486,37.77493,29.838495
-122.41942,-80.19366,37.77493,25.77427
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-122.67621000000001,37.77493,45.52345
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-90.331882,37.77493,38.66471
-122.41942,-122.2708,37.77493,37.80437
-122.41942,-80.14338000000001,37.77493,26.12231
-122.41942,-75.08462,37.77493,39.90095
-122.41942,-115.13722,37.77493,36.17497
-122.41942,-75.16379,37.77493,39.952329999999996
-122.41942,-80.19366,37.77493,25.77427
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-84.38798,37.77493,33.749
-122.41942,-122.67621000000001,37.77493,45.52345
-122.41942,-80.14338000000001,37.77493,26.12231
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-93.04028100000001,37.77493,44.883849
-122.41942,-122.2708,37.77493,37.80437
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-117.92533999999999,37.77493,33.870290000000004
-122.41942,-80.19366,37.77493,25.77427
-122.41942,-81.367772,37.77493,28.501678000000002
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-84.43310600000001,37.77493,33.767194
-122.41942,-122.41942,37.77493,37.77493
-122.41942,-75.16379,37.77493,39.952329999999996
-122.41942,-84.38798,37.77493,33.749
-122.41942,-122.67621000000001,37.77493,45.52345
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-157.799589,37.77493,21.319943
-122.41942,-80.13005,37.77493,25.79065
-122.41942,-122.33207,37.77493,47.60621
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-80.19366,37.77493,25.77427
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-84.38798,37.77493,33.749
-122.41942,-80.19366,37.77493,25.77427
-122.41942,-122.367377,37.77493,37.586113
-122.41942,-122.41942,37.77493,37.77493
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-83.04575,37.77493,42.33143
-122.41942,-84.38798,37.77493,33.749
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-122.435979,37.77493,37.770656
-122.41942,-75.03073,37.77493,39.93484
-122.41942,-122.33207,37.77493,47.60621
-122.41942,-95.446486,37.77493,29.838495
-122.41942,-75.16379,37.77493,39.952329999999996
-122.41942,-87.65005,37.77493,41.85003
-122.41942,-71.20459100000001,37.77493,42.505534999999995
-122.41942,-84.38798,37.77493,33.749
-122.41942,-84.54993,37.77493,33.9526
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-71.05977,37.77493,42.35843
-122.41942,-90.19789,37.77493,38.62727
-122.41942,-83.04575,37.77493,42.33143
-71.088713,-71.088713,42.31367,42.31367
-71.088713,-122.41942,42.31367,37.77493
-71.088713,-122.27275,42.31367,37.871590000000005
-71.088713,-84.38798,42.31367,33.749
-71.088713,-87.65005,42.31367,41.85003
-71.088713,-84.38798,42.31367,33.749
-71.088713,-71.05977,42.31367,42.35843
-71.088713,-87.69006,42.31367,42.041140000000006
-71.088713,-87.65005,42.31367,41.85003
-71.088713,-75.16379,42.31367,39.952329999999996
-71.088713,-71.05977,42.31367,42.35843
-71.088713,-115.13722,42.31367,36.17497
-71.088713,-75.16379,42.31367,39.952329999999996
-71.088713,-95.446486,42.31367,29.838495
-71.088713,-80.19366,42.31367,25.77427
-71.088713,-71.05977,42.31367,42.35843
-71.088713,-87.65005,42.31367,41.85003
-71.088713,-122.67621000000001,42.31367,45.52345
-71.088713,-71.05977,42.31367,42.35843
-71.088713,-90.331882,42.31367,38.66471
-71.088713,-122.2708,42.31367,37.80437
-71.088713,-80.14338000000001,42.31367,26.12231
-71.088713,-75.08462,42.31367,39.90095
-71.088713,-115.13722,42.31367,36.17497
-71.088713,-75.16379,42.31367,39.952329999999996
-71.088713,-80.19366,42.31367,25.77427
-71.088713,-87.65005,42.31367,41.85003
-71.088713,-84.38798,42.31367,33.749
-71.088713,-122.67621000000001,42.31367,45.52345
-71.088713,-80.14338000000001,42.31367,26.12231
-71.088713,-87.65005,42.31367,41.85003
-71.088713,-71.05977,42.31367,42.35843
-71.088713,-71.05977,42.31367,42.35843
